Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"DEEP VALUE DRILLER";NO0010955917;DVD;"Euronext Growth Oslo";NOK;18.56;18.94;18.38;18.80;"05/04/2023 13:07";CET;274997;5115071.36;-;-
DEEZER;FR001400AYG6;DEEZR;"Euronext Paris";EUR;1.32;1.322;1.30;1.30;"06/04/2023 17:28";CET;5598;7326.10;-;-
"DEEZER WARRANTS";FR0014004JF6;DEEZW;"Euronext Paris";EUR;0.03;0.03;0.03;0.03;"30/03/2023 10:00";CET;100000;3000.00;-;-
"DEFENCE TECH HOLD";IT0005461329;DTH;"Euronext Growth Milan";EUR;4.34;4.40;4.28;4.28;"06/04/2023 17:35";CET;8198;35741.91;-;-
DEINOVE;FR0010879056;ALDEI;"Euronext Growth Paris";EUR;0.0239;0.0321;0.0231;0.0265;"10/01/2023 17:35";CET;13014939;366466.56;-;-
DEKUPLE;FR0000062978;DKUPL;"Euronext Paris";EUR;25.40;25.40;24.20;25.10;"06/04/2023 17:35";CET;3302;81955.70;-;-
DELFINGEN;FR0000054132;ALDEL;"Euronext Growth Paris";EUR;47.80;48.50;47.00;48.50;"06/04/2023 17:35";CET;1222;58340.10;-;-
"DELTA DRONE";FR0014009LP0;ALDR;"Euronext Growth Paris";EUR;0.0002;0.0002;0.0001;0.0001;"06/04/2023 17:35";CET;72500427;10498.78;-;-
"DELTA PLUS GROUP";FR0013283108;ALDLT;"Euronext Growth Paris";EUR;69.90;69.90;66.00;66.00;"06/04/2023 17:35";CET;1561;104909.70;-;-
"DEME GROUP";BE0974413453;DEME;"Euronext Brussels";EUR;116.00;117.40;116.00;116.40;"06/04/2023 17:35";CET;5796;675775.00;-;-
DEODATO.GALLERY;IT0005528937;ART;"Euronext Growth Milan";EUR;0.978;0.978;0.978;0.978;"06/04/2023 09:00";CET;3000;2934.00;-;-
DERICHEBOURG;FR0000053381;DBG;"Euronext Paris";EUR;5.20;5.20;5.06;5.16;"06/04/2023 17:35";CET;287047;1473114.40;-;-
"DESERT CONTROL";NO0010963275;DSRT;"Euronext Growth Oslo";NOK;14.20;14.20;13.90;13.98;"05/04/2023 13:05";CET;69643;975797.26;-;-
"DESTINATION ITALIA";IT0005454027;DIT;"Euronext Growth Milan";EUR;1.41;1.41;1.34;1.34;"06/04/2023 16:55";CET;25500;34890.00;-;-
"DEUTSCHE BANK";DE0005140008;2DBK;"Euronext After Hours Milan";EUR;9.25;9.57;9.25;9.57;"29/03/2023 20:28";CET;1706;16213.60;-;-
"DEUTSCHE BANK";DE0005140008;1DBK;BITGEM;EUR;9.356;9.474;9.355;9.462;"06/04/2023 17:20";CET;61331;576638.43;-;-
"DEUTSCHE BOERSE";DE0005810055;1DB1;BITGEM;EUR;179.25;179.25;179.25;179.25;"05/04/2023 10:20";CET;5;896.25;-;-
"DEUTSCHE LUFTHANSA";DE0008232125;1LHA;BITGEM;EUR;10.178;10.35;10.178;10.35;"06/04/2023 17:35";CET;5230;53650.28;-;-
"DEUTSCHE POST";DE0005552004;1DPW;BITGEM;EUR;41.91;41.925;41.91;41.925;"06/04/2023 13:29";CET;56;2347.77;-;-
"DEUTSCHE TELEKOM";DE0005557508;1DTE;BITGEM;EUR;22.40;22.67;22.35;22.67;"06/04/2023 17:11";CET;7507;168031.33;-;-
"DEUTSCHE TELEKOM";DE0005557508;DTEL;"Traded not listed Brussels";EUR;22.27;22.70;22.255;22.70;"06/04/2023 17:04";CET;1556;34883.08;-;-
"DEUTSCHE TELEKOM";DE0005557508;2DTE;"Euronext After Hours Milan";EUR;19.658;19.658;19.658;19.658;"01/02/2023 00:00";CET;250;4914.50;-;-
DEVERNOIS;FR0000060840;ALDEV;"Euronext Growth Paris";EUR;14.00;14.00;14.00;14.00;"04/04/2023 16:30";CET;2;28.00;-;-
DEXIA;BE0974290224;DEXB;"Euronext Expert Market";EUR;0.30;0.30;0.30;0.30;"29/12/2020 11:30";CET;1163;348.90;-;-
"DGB GROUP N.V.";NL0009169515;DGB;"Euronext Amsterdam";EUR;0.76;0.76;0.75;0.76;"06/04/2023 17:35";CET;30063;22560.58;-;-
DHH;IT0005203622;DHH;"Euronext Growth Milan";EUR;16.20;16.40;15.60;16.30;"06/04/2023 17:35";CET;200;3136.60;-;-
DIAGEO;GB0002374006;DGE;"Euronext Paris";EUR;41.80;42.80;41.60;41.60;"06/04/2023 14:11";CET;258;10995.00;-;-
"DIAGEO PLC";GB0002374006;GUI1;"Euronext Dublin";EUR;-;-;-;-;-;IST;-;-;-;-
"DIAGNOSTIC MEDICAL";FR0012202497;ALDMS;"Euronext Growth Paris";EUR;1.185;1.185;1.12;1.185;"06/04/2023 17:23";CET;2140;2439.50;-;-
DIASORIN;IT0003492391;2DIA;"Euronext After Hours Milan";EUR;98.20;98.20;97.50;97.90;"05/04/2023 20:07";CET;25;2448.50;-;-
DIASORIN;IT0003492391;DIA;"Euronext Milan";EUR;97.00;98.10;96.24;97.06;"06/04/2023 17:35";CET;166189;16159097.40;-;-
"DIEGEM KENNEDYCERT";BE0003698124;DIEG;"Euronext Brussels";EUR;113.00;113.00;113.00;113.00;"06/04/2023 11:30";CET;10;1130.00;-;-
"DIERK. ANTWERP.";BE0036367895;-;"Euronext Expert Market";EUR;126.00;126.00;126.00;126.00;"20/12/2022 11:30";CET;5;630.00;-;-
"DIERKUNDE ANTW";BE0026342551;-;"Euronext Expert Market";EUR;270.00;270.00;270.00;270.00;"14/02/2023 11:30";CET;31;8370.00;-;-
"DIGITAL BROS";IT0001469995;DIB;"Euronext Milan";EUR;20.64;20.64;19.92;20.16;"06/04/2023 17:35";CET;43192;874984.97;-;-
"DIGITAL MAGICS";IT0004900160;DM;"Euronext Growth Milan";EUR;3.17;3.17;3.11;3.14;"06/04/2023 17:28";CET;5200;16384.00;-;-
"DIGITAL VALUE";IT0005347429;DGV;"Euronext Growth Milan";EUR;67.40;68.20;66.10;67.70;"06/04/2023 17:35";CET;4987;335681.30;-;-
DIGITAL360;IT0005254252;DIG;"Euronext Growth Milan";EUR;4.71;4.79;4.64;4.70;"06/04/2023 17:35";CET;3556;16668.71;-;-
DIGITOUCH;IT0005089476;DGT;"Euronext Growth Milan";EUR;2.64;2.66;2.61;2.66;"06/04/2023 17:35";CET;7500;19820.00;-;-
"DIRECTA SIM";IT0001463063;D;"Euronext Growth Milan";EUR;4.13;4.13;4.08;4.08;"06/04/2023 17:04";CET;4500;18470.00;-;-
"DISRUPTIVE CAP SHA";GG00BMB5XZ39;DCACS;"Euronext Amsterdam";GBP;7.45;7.45;7.40;7.40;"15/03/2023 12:10";CET;143;1060.35;-;-
"DISRUPTIVE CAP WAR";GG00BMB5XY22;DCACW;"Euronext Amsterdam";GBP;0.18;0.18;0.18;0.18;"06/12/2022 09:38";CET;1000;180.00;-;-
"DISTRI-LAND CERT";BE0003605160;DISL;"Euronext Brussels";EUR;199.00;199.00;199.00;199.00;"24/02/2023 16:30";CET;1;199.00;-;-
DLTX;NO0003055808;DLTX;"Oslo Børs";NOK;1.42;1.498;1.42;1.488;"05/04/2023 11:48";CET;148564;215820.96;-;-
"DMS IMAGING";BE0974289218;DMSIM;"Euronext Brussels, Paris";EUR;0.0255;0.0255;0.0235;0.0235;"06/04/2023 16:07";CET;14509;353.97;-;-
"DNB BANK";NO0010161896;DNB;"Oslo Børs";NOK;190.50;190.85;187.95;190.15;"05/04/2023 13:05";CET;1067312;202588305.00;-;-
DNO;NO0003921009;DNO;"Oslo Børs";NOK;11.86;11.91;11.63;11.84;"05/04/2023 13:05";CET;1152941;13591830.64;-;-
DNXCORP;FR0010436584;ALDNX;"Euronext Growth Paris";EUR;14.50;14.80;14.20;14.20;"06/04/2023 13:20";CET;440;6375.80;-;-
"DOCK.PETR.AMBES AM";FR0000065260;DPAM;"Euronext Paris";EUR;474.00;474.00;474.00;474.00;"05/04/2023 14:48";CET;5;2370.00;-;-
DOF;NO0010070063;DOF;"Oslo Børs";NOK;0.72;0.739;0.541;0.676;"01/02/2023 11:53";CET;14360923;8821997.30;-;-
DOLFINES;FR0014004QZ9;ALDOL;"Euronext Growth Paris";EUR;0.0045;0.0059;0.0045;0.0052;"06/04/2023 17:35";CET;58083510;308402.93;-;-
"DOLPHIN DRILLING";NO0012595950;DDRIL;"Euronext Growth Oslo";NOK;14.46;14.48;14.02;14.20;"05/04/2023 13:05";CET;161928;2307017.94;-;-
"DONEGAL INVESTMENT";IE000TIRQBE1;DQ7A;"Euronext Growth Dublin";EUR;18.80;18.80;18.80;18.80;"05/04/2023 21:00";IST;1;18.80;-;-
DONTNOD;FR0013331212;ALDNE;"Euronext Growth Paris";EUR;9.04;9.90;9.04;9.40;"06/04/2023 17:02";CET;41278;394707.30;-;-
DOTSTAY;IT0005523839;DOT;"Euronext Growth Milan";EUR;6.00;6.00;6.00;6.00;"24/02/2023 00:00";CET;1500;9000.00;-;-
DOVALUE;IT0001044996;DOV;"Euronext Milan";EUR;6.31;6.35;6.25;6.33;"06/04/2023 17:37";CET;112489;708667.98;-;-
DOXEE;IT0005394413;DOX;"Euronext Growth Milan";EUR;9.00;9.00;9.00;9.00;"06/04/2023 09:45";CET;250;2250.00;-;-
"DRONE VOLT";FR0013088606;ALDRV;"Euronext Growth Paris";EUR;0.0202;0.0207;0.0197;0.0203;"06/04/2023 17:37";CET;21336577;429527.27;-;-
"DRONE VOLT BS26";FR0014007951;BNBS;"Euronext Growth Paris";EUR;0.002;0.002;0.002;0.002;"06/04/2023 13:04";CET;230000;460.00;-;-
"DSM KON";NL0000009827;DSM;"Euronext Amsterdam";EUR;108.80;110.15;108.50;109.85;"06/04/2023 17:35";CET;525866;57569859.75;-;-
DYNAFOND;FR0000052920;MLDYN;"Euronext Access Paris";EUR;1.89;1.89;1.89;1.89;"03/03/2023 11:30";CET;700;1323.00;-;-
"DYNEX ENERGY SA";LU0881232630;MLDYX;"Euronext Access Paris";EUR;1.50;1.50;1.50;1.50;"16/09/2022 16:30";CET;6;9.00;-;-
"E PANGO";FR0014004339;ALAGO;"Euronext Growth Paris";EUR;1.32;1.59;1.315;1.50;"06/04/2023 17:35";CET;44469;65355.68;-;-
E-NOVIA;IT0005391229;E9IA;"Euronext Growth Milan";EUR;6.45;6.45;6.45;6.45;"04/01/2023 00:00";CET;5600;36120.00;-;-
E.ON;DE000ENAG999;1EOAN;BITGEM;EUR;11.71;11.80;11.71;11.765;"06/04/2023 16:06";CET;3646;42981.76;-;-
E.ON;DE000ENAG999;2EOAN;"Euronext After Hours Milan";EUR;8.76;8.76;8.76;8.76;"21/06/2022 00:00";CET;250;2190.00;-;-
"E.ON SE";DE000ENAG999;EON;"Traded not listed Brussels";EUR;11.375;11.50;11.375;11.50;"04/04/2023 16:24";CET;509;5852.38;-;-
"EAM SOLAR";NO0010607781;EAM;"Euronext Expand Oslo";NOK;6.00;6.98;6.00;6.04;"05/04/2023 12:22";CET;495;3160.60;-;-
"EASE2PAY NV";NL0000345627;EAS2P;"Euronext Amsterdam";EUR;1.02;1.08;1.02;1.03;"06/04/2023 17:03";CET;44377;46050.61;-;-
"EASSON HOLDINGS";HK0000038783;MLEAS;"Euronext Access Paris";EUR;1.59;1.59;1.59;1.59;"22/03/2023 16:30";CET;100;159.00;-;-
"EAUX DE ROYAN";FR0007200100;MLEDR;"Euronext Access Paris";EUR;78.00;78.00;78.00;78.00;"06/04/2023 16:30";CET;2;156.00;-;-
EAVS;FR0010536185;MLEAV;"Euronext Access Paris";EUR;13.00;13.00;13.00;13.00;"28/09/2022 11:30";CET;2;26.00;-;-
"EBUSCO HOLDING";NL0015000CZ2;EBUS;"Euronext Amsterdam";EUR;9.10;9.38;9.10;9.19;"06/04/2023 17:35";CET;98197;906183.56;-;-
ECFC;BE0003783975;-;"Euronext Expert Market";EUR;4120.00;4120.00;4120.00;4120.00;"26/05/2020 11:30";CET;1;4120.00;-;-
"ECIT AS B-AKSJER";NO0010939804;ECIT;"Euronext Growth Oslo";NOK;7.50;7.50;7.40;7.48;"05/04/2023 12:56";CET;66383;496672.06;-;-
ECOLUTIONS;DE000A0XYM45;MLECO;"Euronext Access Paris";EUR;1.25;1.25;1.25;1.25;"21/12/2016 15:00";CET;100;125.00;-;-
ECOMIAM;FR0013534617;ALECO;"Euronext Growth Paris";EUR;5.70;5.70;5.62;5.62;"06/04/2023 16:56";CET;339;1922.62;-;-
"ECONOCOM GROUP";BE0974313455;ECONB;"Euronext Brussels";EUR;3.00;3.00;2.97;2.98;"06/04/2023 17:35";CET;22678;67549.14;-;-
ECOSLOPS;FR0011490648;ALESA;"Euronext Growth Paris";EUR;6.90;7.36;6.90;7.36;"06/04/2023 17:37";CET;6894;48717.46;-;-
ECOSUNTEK;IT0005001943;ECK;"Euronext Growth Milan";EUR;18.50;19.00;18.50;19.00;"05/04/2023 17:14";CET;280;5215.00;-;-
"EDDA WIND";NO0010998529;EWIND;"Oslo Børs";NOK;24.40;24.40;23.25;23.90;"05/04/2023 13:05";CET;20738;497027.80;-;-
EDENRED;FR0010908533;EDEN;"Euronext Paris";EUR;56.02;56.84;56.00;56.42;"06/04/2023 17:35";CET;298894;16885682.28;-;-
EDF;FR0010242511;EDF;"Euronext Paris";EUR;11.92;11.925;11.89;11.925;"06/04/2023 17:35";CET;238244;2839000.56;-;-
EDILIZIACROBATICA;IT0005351504;ALEAC;"Euronext Growth Paris";EUR;18.10;18.20;18.00;18.20;"06/04/2023 17:00";CET;1286;23375.10;-;-
EDILIZIACROBATICA;IT0005351504;EDAC;"Euronext Growth Milan";EUR;17.90;18.25;17.80;18.05;"06/04/2023 17:35";CET;9777;176035.45;-;-
"EDISON R";IT0003372205;EDNR;"Euronext Milan";EUR;1.414;1.43;1.414;1.428;"06/04/2023 17:35";CET;21830;31086.53;-;-
"EDITIONS DU SIGNE";FR0000052755;MLEDS;"Euronext Access Paris";EUR;0.35;0.35;0.35;0.35;"30/03/2023 16:30";CET;2000;700.00;-;-
EDP;PTEDP0AM0009;EDP;"Euronext Lisbon";EUR;5.054;5.112;5.04;5.072;"06/04/2023 21:35";BST;4316150;21932213.27;-;-
"EDP RENOVAVEIS";ES0127797019;EDPR;"Euronext Lisbon";EUR;21.11;21.23;20.79;20.91;"06/04/2023 21:35";BST;390842;8194550.74;-;-
"EDUFORM ACTION";FR0010882886;MLEFA;"Euronext Access Paris";EUR;0.69;0.69;0.69;0.69;"05/04/2023 16:30";CET;90;62.10;-;-
EDUNIVERSAL;FR0010439265;MLEDU;"Euronext Access Paris";EUR;8.42;8.42;8.42;8.42;"18/04/2012 15:00";CET;850;7157.00;-;-
EEMS;IT0001498234;EEMS;"Euronext Milan";EUR;0.0447;0.0535;0.0444;0.051;"06/04/2023 17:36";CET;16751530;808513.31;-;-
EES;FR0010945733;MLEES;"Euronext Access Paris";EUR;0.282;0.282;0.282;0.282;"06/08/2020 16:30";CET;20;5.64;-;-
EGIDE;FR0000072373;ALGID;"Euronext Growth Paris";EUR;1.00;1.05;0.98;1.03;"06/04/2023 17:25";CET;21577;22050.50;-;-
"EHC ORD SHARES";NL0015000K10;EHCS;"Euronext Amsterdam";EUR;9.85;9.90;9.85;9.90;"31/03/2023 16:04";CET;138141;1360772.75;-;-
"EHC TREAS SHARES";NL0015000K02;EHCT;"Euronext Amsterdam";EUR;-;-;-;-;-;CET;-;-;-;-
"EHC WARRANTS";NL0015000K28;EHCW;"Euronext Amsterdam";EUR;0.25;0.25;0.25;0.25;"17/12/2021 10:55";CET;42;10.50;-;-
"EIDESVIK OFFSHORE";NO0010263023;EIOF;"Oslo Børs";NOK;14.40;14.92;14.18;14.48;"05/04/2023 13:05";CET;50785;733910.72;-;-
EIFFAGE;FR0000130452;FGR;"Euronext Paris";EUR;99.70;101.00;99.54;101.00;"06/04/2023 17:35";CET;176126;17751929.74;-;-
EKINOPS;FR0011466069;EKI;"Euronext Paris";EUR;8.84;8.87;8.80;8.84;"06/04/2023 17:35";CET;8695;76771.82;-;-
EKOPAK;BE0974380124;EKOP;"Euronext Brussels";EUR;18.75;18.90;18.65;18.90;"06/04/2023 17:23";CET;2495;46831.70;-;-
EL.EN.;IT0005453250;ELN;"Euronext Milan";EUR;12.16;12.30;12.07;12.25;"06/04/2023 17:35";CET;95870;1171389.49;-;-
ELEC.STRASBOURG;FR0000031023;ELEC;"Euronext Paris";EUR;92.00;92.00;90.40;90.80;"06/04/2023 17:25";CET;1385;125748.60;-;-
"ELECT. MADAGASCAR";FR0000035719;EEM;"Euronext Paris";EUR;3.30;3.30;3.30;3.30;"06/04/2023 16:30";CET;87;287.10;-;-
"ELECTROMAGNET GEO";NO0010358484;EMGS;"Oslo Børs";NOK;3.41;3.53;3.41;3.50;"05/04/2023 13:05";CET;159509;548326.17;-;-
ELEKTROIMPORTØREN;NO0010911902;ELIMP;"Euronext Growth Oslo";NOK;39.30;41.80;38.70;40.00;"03/04/2023 14:48";CET;2122;84783.90;-;-
ELES;IT0005373417;ELES;"Euronext Growth Milan";EUR;1.62;1.625;1.605;1.625;"06/04/2023 17:27";CET;10000;16180.00;-;-
"ELIA GROUP";BE0003822393;ELI;"Euronext Brussels";EUR;124.40;126.00;124.20;125.40;"06/04/2023 17:35";CET;32646;4094379.30;-;-
ELICA;IT0003404214;ELC;"Euronext Milan";EUR;2.84;2.86;2.80;2.86;"06/04/2023 17:35";CET;9771;27662.54;-;-
ELIGO;IT0005524423;ELG;"Euronext Growth Milan";EUR;-;-;-;-;-;CET;-;-;-;-
"ELIOR GROUP";FR0011950732;ELIOR;"Euronext Paris";EUR;3.25;3.284;3.22;3.262;"06/04/2023 17:38";CET;319744;1040904.87;-;-
ELIS;FR0012435121;ELIS;"Euronext Paris";EUR;17.00;17.39;17.00;17.39;"06/04/2023 17:35";CET;324887;5629273.47;-;-
ELKEM;NO0010816093;ELK;"Oslo Børs";NOK;36.06;36.06;35.22;35.48;"05/04/2023 13:05";CET;676033;24024879.88;-;-
"ELLIPTIC LABORATOR";NO0010722283;ELABS;"Oslo Børs";NOK;14.02;14.06;13.92;14.04;"05/04/2023 13:05";CET;43225;605256.92;-;-
"ELMERA GROUP";NO0010815673;ELMRA;"Oslo Børs";NOK;17.20;17.36;16.75;17.23;"05/04/2023 13:06";CET;207476;3532378.05;-;-
ELOPAK;NO0011002586;ELO;"Oslo Børs";NOK;21.60;22.40;21.60;22.30;"05/04/2023 13:05";CET;15051;332908.20;-;-
EMAK;IT0001237053;EM;"Euronext Milan";EUR;1.188;1.196;1.174;1.176;"06/04/2023 17:35";CET;77260;91401.79;-;-
EMBENTION;ES0105639001;MLUAV;"Euronext Access Paris";EUR;5.83;5.83;5.83;5.83;"27/03/2023 16:30";CET;17146;99961.18;-;-
"EMD MUSIC";BE0003849669;EMD;"Euronext Expert Market";EUR;1.30;1.30;1.30;1.30;"24/07/2018 11:30";CET;600;780.00;-;-
"EMOVA GROUP";FR0013356755;ALEMV;"Euronext Growth Paris";EUR;1.10;1.10;0.99;1.04;"06/04/2023 17:07";CET;10661;10766.34;-;-
EMULATION;BE0024644065;-;"Euronext Expert Market";EUR;253.34;253.34;253.34;253.34;"19/09/2017 11:30";CET;5;1266.70;-;-
ENAV;IT0005176406;ENAV;"Euronext Milan";EUR;3.878;3.948;3.878;3.948;"06/04/2023 17:35";CET;514046;2013332.51;-;-
"ENCRES DUBUIT";FR0004030708;ALDUB;"Euronext Growth Paris";EUR;3.90;3.90;3.80;3.80;"06/04/2023 13:28";CET;1189;4544.52;-;-
ENDÚR;NO0012555459;ENDUR;"Oslo Børs";NOK;47.60;47.60;45.30;47.00;"05/04/2023 13:05";CET;19888;932479.90;-;-
ENEL;IT0003128367;2ENEL;"Euronext After Hours Milan";EUR;5.657;5.662;5.651;5.662;"05/04/2023 20:28";CET;31767;179693.59;-;-
ENEL;IT0003128367;ENEL;"Euronext Milan";EUR;5.697;5.855;5.677;5.849;"06/04/2023 17:38";CET;48253693;280626752.39;-;-
ENENSYS;FR0013330792;ALNN6;"Euronext Growth Paris";EUR;1.035;1.08;0.986;1.035;"06/04/2023 16:22";CET;31350;32765.60;-;-
ENERGEIA;NO0012697715;ENERG;"Euronext Growth Oslo";NOK;1.975;1.975;1.975;1.975;"05/04/2023 10:23";CET;1100;2172.50;-;-
ENERGISME;FR0013399359;ALNRG;"Euronext Growth Paris";EUR;0.1554;0.157;0.147;0.148;"06/04/2023 17:35";CET;57746;8794.85;-;-
ENERGY;IT0005500712;ENY;"Euronext Growth Milan";EUR;3.38;3.40;3.36;3.36;"06/04/2023 16:35";CET;3500;11840.00;-;-
ENERTIME;FR0011915339;ALENE;"Euronext Growth Paris";EUR;1.37;1.40;1.35;1.40;"06/04/2023 16:31";CET;3718;5112.69;-;-
"ENERTRONICA SANT";IT0004887409;ENT;"Euronext Growth Milan";EUR;0.836;0.864;0.834;0.838;"15/06/2022 00:00";CET;10800;9195.00;-;-
ENERVIT;IT0004356751;ENV;"Euronext Milan";EUR;3.16;3.18;3.12;3.12;"06/04/2023 17:35";CET;2505;7919.14;-;-
"ENGAGE XR HOLDINGS";IE00BG0HDR01;EXR;"Euronext Growth Dublin";EUR;0.04;0.04;0.04;0.04;"27/03/2023 16:48";IST;101919;4076.76;-;-
ENGIE;FR0010208488;2ENGI;"Euronext After Hours Milan";EUR;14.118;14.138;14.118;14.138;"05/04/2023 18:40";CET;110;1553.78;-;-
ENGIE;FR0010208488;1ENGI;BITGEM;EUR;14.50;15.20;14.004;15.186;"06/04/2023 16:50";CET;6450;97074.73;-;-
ENGIE;FR0010208488;ENGI;"Euronext Paris, Brussels";EUR;14.958;15.21;14.942;15.066;"06/04/2023 17:38";CET;6274651;94670211.65;-;-
ENI;IT0003132476;ENI;"Euronext Milan";EUR;13.502;13.58;13.47;13.54;"06/04/2023 17:35";CET;8779783;118860851.76;-;-
ENI;IT0003132476;ENIT;"Traded not listed Brussels";EUR;13.51;14.00;13.40;14.00;"06/04/2023 17:35";CET;4151;56614.58;-;-
ENI;IT0003132476;2ENI;"Euronext After Hours Milan";EUR;13.39;13.442;13.378;13.442;"05/04/2023 20:28";CET;59910;804323.07;-;-
ENIBLOCK;FR001400C2Z4;ALENI;"Euronext Growth Paris";EUR;1.50;1.50;1.40;1.40;"06/04/2023 17:35";CET;94;136.81;-;-
ENOGIA;FR0014004974;ALENO;"Euronext Growth Paris";EUR;2.80;2.87;2.75;2.76;"06/04/2023 17:35";CET;6490;18136.52;-;-
"ENSURGE MICROPOWER";NO0012450008;ENSU;"Oslo Børs";NOK;0.221;0.2265;0.215;0.218;"05/04/2023 13:05";CET;1771900;386450.73;-;-
ENTECH;FR0014004362;ALESE;"Euronext Growth Paris";EUR;8.10;8.28;8.10;8.28;"06/04/2023 17:21";CET;2393;19555.90;-;-
"ENTP ORD SHARES";NL0015000F82;ENTPA;"Euronext Amsterdam";EUR;10.00;10.00;10.00;10.00;"31/03/2023 10:58";CET;50;500.00;-;-
"ENTP TREAS SHARES";NL0015000F90;ENTPT;"Euronext Amsterdam";EUR;-;-;-;-;-;CET;-;-;-;-
"ENTP WARRANTS";NL0015000FD2;ENTPW;"Euronext Amsterdam";EUR;0.25;0.25;0.25;0.25;"02/01/2023 09:20";CET;5;1.25;-;-
ENTRA;NO0010716418;ENTRA;"Oslo Børs";NOK;105.00;105.00;99.35;99.80;"05/04/2023 13:05";CET;30258;3041123.85;-;-
ENTREPARTICULIERS;FR0010424697;ALENT;"Euronext Growth Paris";EUR;1.95;1.975;1.925;1.975;"06/04/2023 16:21";CET;866;1696.62;-;-
ENTREPRENDRE;FR0000045122;ALENR;"Euronext Growth Paris";EUR;3.60;3.60;3.60;3.60;"28/03/2023 11:30";CET;1;3.60;-;-
ENVIPCO;NL0015000GX8;ENVI;"Euronext Amsterdam";EUR;2.88;2.88;2.88;2.88;"06/04/2023 13:16";CET;900;2592.00;-;-
"ENVIPCO HOLDING";NL0015000GX8;ENVIP;"Euronext Growth Oslo";NOK;32.20;33.00;32.00;33.00;"05/04/2023 13:05";CET;3770;123466.40;-;-
EO2;FR0010465534;ALEO2;"Euronext Growth Paris";EUR;5.36;5.42;5.36;5.40;"06/04/2023 16:33";CET;552;2979.62;-;-
"EPIC Ord Shares";KYG3166N1060;EPIC;"Euronext Amsterdam";EUR;10.10;10.10;10.10;10.10;"04/04/2023 09:24";CET;3974;40137.40;-;-
"EPIC WARRANTS";KYG3166N1144;EPICW;"Euronext Amsterdam";EUR;0.15;0.15;0.15;0.15;"26/05/2022 15:17";CET;30000;4500.00;-;-
EPRCOMUNICAZIONE;IT0005519837;EPRB;"Euronext Growth Milan";EUR;3.38;3.38;3.28;3.36;"06/04/2023 11:51";CET;1750;5873.00;-;-
EPRICE;IT0005084717;EPRC;"Euronext Milan";EUR;0.0108;0.0108;0.0105;0.0108;"06/04/2023 16:54";CET;85902;910.57;-;-
EQUASENS;FR0012882389;EQS;"Euronext Paris";EUR;71.10;71.20;70.30;70.70;"06/04/2023 17:35";CET;3367;238484.00;-;-
EQUINOR;NO0010096985;EQNR;"Oslo Børs";NOK;302.95;305.00;299.55;304.20;"05/04/2023 13:05";CET;2595701;786765368.15;-;-
"EQUITA GROUP";IT0005312027;EQUI;"Euronext Milan";EUR;3.83;3.88;3.83;3.88;"06/04/2023 16:54";CET;21964;84534.29;-;-
"EQUITY BCDC";CG000A0BKQF7;-;"Euronext Expert Market";EUR;34.80;34.80;34.80;34.80;"19/07/2022 11:30";CET;16;556.80;-;-
EQVA;NO0010708605;EQVA;"Oslo Børs";NOK;3.02;3.10;3.02;3.10;"05/04/2023 12:18";CET;1040;3220.80;-;-
ERAMET;FR0000131757;ERA;"Euronext Paris";EUR;91.20;92.95;91.20;92.05;"06/04/2023 17:35";CET;30041;2766537.00;-;-
ERG;IT0001157020;ERG;"Euronext Milan";EUR;28.74;29.12;28.68;28.80;"06/04/2023 17:35";CET;298302;8637332.36;-;-
EROLD;FR0010211037;ALPLA;"Euronext Growth Paris";EUR;0.347;0.35;0.328;0.328;"06/04/2023 17:19";CET;6215;2108.02;-;-
"EROLD DS";FR001400GR23;ERODS;"Euronext Growth Paris";EUR;0.023;0.0273;0.019;0.019;"06/04/2023 17:21";CET;39394;818.85;-;-
ERREDUE;IT0005521247;RDUE;"Euronext Growth Milan";EUR;10.75;10.80;10.25;10.25;"06/04/2023 17:13";CET;1800;19040.00;-;-
"ERYTECH PHARMA";FR0011471135;ERYP;"Euronext Paris";EUR;0.88;0.886;0.80;0.832;"06/04/2023 17:35";CET;175301;147833.89;-;-
ESAUTOMOTION;IT0005337107;ESAU;"Euronext Growth Milan";EUR;4.41;4.75;4.41;4.67;"06/04/2023 17:35";CET;59000;273840.00;-;-
"ESG CORE INVEST";NL00150006O3;ESG;"Euronext Amsterdam";EUR;10.00;10.00;9.95;9.95;"06/04/2023 15:13";CET;550;5477.50;-;-
"ESG CORE TREAS SHA";NL00150006Q8;ESGT;"Euronext Amsterdam";EUR;-;-;-;-;-;CET;-;-;-;-
ESI;IT0005421885;ESIGM;"Euronext Growth Milan";EUR;2.10;2.10;2.10;2.10;"06/04/2023 14:04";CET;1800;3780.00;-;-
"ESI GROUP";FR0004110310;ESI;"Euronext Paris";EUR;75.60;75.60;73.80;74.20;"06/04/2023 17:35";CET;935;70380.80;-;-
ESKER;FR0000035818;ALESK;"Euronext Growth Paris";EUR;126.40;128.30;125.50;126.90;"06/04/2023 17:35";CET;5542;700602.00;-;-
ESPRINET;IT0003850929;PRT;"Euronext Milan";EUR;8.855;9.06;8.855;8.98;"06/04/2023 17:35";CET;120639;1082620.83;-;-
"ESSILORLUX NV 23";FR001400EFS2;ELNV;"Euronext Paris";EUR;-;-;-;-;-;CET;-;-;-;-
